"grdc_no","wmo_reg","sub_reg","river","station","country","lat","lon","area","altitude","d_start","d_end","d_yrs","d_miss","m_start","m_end","m_yrs","m_miss","t_start","t_end","t_yrs","lta_discharge","r_volume_yr","r_height_yr","miss"
1104150,1,1041,"CHELIF, OUED","SIDI BELATAR","DZ",36.02,0.27,43750,2,1978,2001,24,58.35019641,1976,1977,2,0,1976,2001,26,"15.027","0.473891472","10.83180507",77.44
1112100,1,1121,"SENEGAL FLEUVE","KAYES","ML",14.45,-11.28,157400,20,1981,1990,10,70.01642935,1951,1990,40,0,1951,1990,40,"200.748","6.330788928","40.22102241",70.73
1112110,1,1121,"KOLINBINE","KABATE","ML",14.31,-11.13,25000,-999,1981,1990,10,70.8652793,1981,1990,10,70.83333333,1981,1990,10,"5.757","0.181552752","7.26211008",92.89
1112200,1,1121,"FALEME RIVIERE","GOURBASSY","ML",13.23,-11.38,15000,-999,1981,1990,10,71.68674699,1954,1990,37,0,1954,1990,37,"57.429","1.811080944","120.7387296",70.73
1112300,1,1121,"SENEGAL FLEUVE","GALOUGO","ML",13.83,-11.13,127000,69,1981,1990,10,70.01642935,1905,1990,86,35.01945525,1905,1990,86,"189.209","5.966895024","46.98342539",70.73
1112320,1,1121,"BAKOYE","OUALIA","ML",13.36,-9.23,84400,-999,1981,1990,10,70.01642935,1951,1990,40,29.20168067,1951,1990,40,"31.979","1.008489744","11.94893062",92.68
1112330,1,1121,"BAOULE","SIRAMAKANA","ML",13.34,-9.53,58000,-999,1981,1990,10,73.35706462,1972,1990,19,60.96491228,1972,1990,19,"8.805","0.27767448","4.787491034",93.5
1112340,1,1121,"BAKOYE","TOUKOTO","ML",13.45,-9.88,16000,-999,1987,1990,4,50.03422313,1952,1990,39,41.59482759,1952,1990,39,"16.967","0.535071312","33.441957",95.12
1112350,1,1121,"BAFING","DIBIA","ML",13.14,-10.48,33000,-999,1981,1990,10,81.68127054,1951,1990,40,20.37815126,1951,1990,40,"186.401","5.878341936","178.1315738",78.46
1112480,1,1121,"BAFING","DAKA SAYDOU","ML",12.15,-10.2,15500,-999,1981,1990,10,71.71412924,1952,1990,39,27.37068966,1952,1990,39,"142.502","4.493943072","289.9318111",93.09
1112500,1,1121,"BAFING","BAFING MAKANA","ML",12.33,-10.16,21700,-999,1981,1990,10,70.18072289,1981,1990,10,70,1981,1990,10,"166.238","5.242481568","241.5890124",92.68
