grdc_no,wmo_reg,sub_reg,river,station,country,lat,lon,area,altitude,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr
1616700,1,1160,KONKOURE,PONT DE TELIMELE,GN,10.5,-12.9,10250,154,1954,2020,67,49.40429567,1976,1979,4,4.166666667,1954,2020,67,399.775,12.6073044,1229.980917
3652068,3,3527,"JACUIPE, RIO",PONTE RIO BRANCO,BR,-12.23306,-39.04611,10560,119,1929,2010,82,2.826203567,1929,1979,51,6.688963211,1929,2010,82,8.725,0.2751516,26.05602273
2854700,2,2541,CAUVERY RIVER,KRISHNARAJASAGAR,IN,12.42,76.58,10600,715,,,,,1934,1979,46,32.60869565,1934,1979,46,170.034,5.362192224,505.8671909
6502100,6,6021,"SHANNON, RIVER",KILLALOE,IE,52.821968,-8.439731,10631.1,32,,,,,1973,1979,7,14.28571429,1973,1979,7,171.874,5.420218464,509.8454971
2851500,2,2511,BHARELI RIVER,N.T. ROAD CROSSING,IN,26.83,92.92,10820,74,,,,,1958,1979,22,36.74242424,1958,1979,22,888.792,28.02894451,2590.475463
2605450,2,2051,NAKDONGGANG,WAEGWAN,KR,36.000278,128.394444,11074.4,18.97,1995,2009,15,0,1976,1979,4,0,1976,2009,34,177.296,5.591206656,504.8767117
2677300,2,2771,HAN-GANG,YEOJU,KR,37.296111,127.6475,11104.4,32.53,1995,2009,15,1.149844862,1976,1979,4,0,1976,2009,34,291.808,9.202457088,828.7216858
4355400,4,4550,"HUMAYA, RIO",PALOS BLANCOS,MX,24.925,-107.3819,11409,88,1938,1988,51,0,1976,1979,4,0,1938,1988,51,41.903,1.321453008,115.8254894
6349500,6,6490,"ADIGE, FIUME",BOARA PISANI,IT,45.1,11.82,11954,9,1980,1984,5,0,1922,1979,58,1.724137931,1922,1984,63,193.735,6.10962696,511.0947766
3411300,3,3111,COPPENAME RIVIER,MAKSITA,SR,4.9,-56.12,12300,13,,,,,1973,1979,7,0,1973,1979,7,327.828,10.33838381,840.5190088
2836100,2,2361,JHELUM RIVER,BARAMULA BR.,IN,34.22,74.33,12494,-999,,,,,1968,1979,12,8.333333333,1968,1979,12,221.865,6.99673464,560.0075748
1634420,1,1341,NIANDAN,BARO,GN,10.6,-9.73,12770,416,1947,1979,33,16.90554019,1947,1979,33,17.09183673,1947,1979,33,267.298,8.429509728,660.1025629
2854750,2,2540,PONNAIYAR RIVER,TIRUKOILUR ANICUT,IN,11.98,79.27,12888,83,,,,,1976,1979,4,0,1976,1979,4,20.4,0.6433344,49.91731844
2853050,2,2530,SABARMATI RIVER,AHMEDABAD,IN,23.08,72.63,12950,50,,,,,1968,1979,12,8.333333333,1968,1979,12,32.687,1.030817232,79.59978625
3179250,3,3794,"RAPEL, RIO",CORNECHE,CL,-33.98,-71.68,13186,17,,,,,1966,1979,14,0,1966,1979,14,167.508,5.282532288,400.6167365
1269600,1,1691,GURUMETI,MUSOMA ROAD (55116003),TZ,-2.061111,33.944444,13233,-999,,,,,1970,1979,10,7.5,1970,1979,10,11.377,0.358785072,27.11290501
1339500,1,1391,NYONG,MBALMAYO,CM,3.52,11.5,13555,634,,,,,1951,1979,29,0,1951,1979,29,149.754,4.722642144,348.4059125
2997253,2,2974,TAZ,RATTA,RU,63.58,83.85,13600,-999,,,,,1973,1979,7,8.333333333,1973,1979,7,162.121,5.112647856,375.9299894
1271500,1,1711,MARA,MARA MINES,TZ,-1.65,34.56,15000,-999,,,,,1970,1979,10,12.5,1970,1979,10,26.657,0.840655152,56.0436768
1894400,1,1941,PUNGWE,BUE-MARIA (58414066),MZ,-19.025278,34.18,15300,60,1953,1981,29,6.502395619,1976,1979,4,6.25,1953,1981,29,98.445,3.10456152,202.9125176
1582700,1,1821,GIBE WENZ,NEAR ABELTI,ET,8.23,37.58,15746,-999,,,,,1976,1979,4,0,1976,1979,4,195.207,6.156047952,390.9594787
1472100,1,1721,KAFU,KAMPALA-GULU ROAD,UG,1.55,32.05,16150,-999,,,,,1976,1979,4,0,1976,1979,4,15.403,0.485749008,30.07733796
6351500,6,6510,TIBER RIVER,ROMA,IT,41.9,12.483334,16545,1,,,,,1921,1979,59,0,1921,1979,59,230.423,7.266619728,439.2033683
2178400,2,2781,DALINGHE KOU,DALINGHE,CN,41.18,121.37,17687,-999,2004,2004,1,61.79775281,1960,1979,20,0,1960,2004,45,47.956,1.512340416,85.5057622
1340500,1,1401,NTEM,NGOAZIK,CM,2.3,11.3,18100,500,,,,,1953,1979,27,0,1953,1979,27,278.261,8.775238896,484.8198285
2839100,2,2391,BEAS RIVER,MANDI PLAIN,IN,31.17,75.13,18274,207,,,,,1968,1979,12,8.333333333,1968,1979,12,499.173,15.74191973,861.4380939
1577600,1,1771,AWASH WENZ,AWASH,ET,9.2,40.2,18710,-999,,,,,1976,1979,4,0,1976,1979,4,46.057,1.452453552,77.62979968
4244600,4,4440,"OUTARDES, RIVIERE AUX",CENTRALE DE CHUTE-AUX-OUTARDES,CA,49.155,-68.4044,18900,58,1922,1978,57,2.17242726,1922,1979,58,0.872093023,1922,1979,58,387.113,12.20799557,645.9256914
2854050,2,2545,DAMODAR RIVER,RHONDIA,IN,23.43,87.37,19220,-999,,,,,1934,1979,46,11.5942029,1934,1979,46,298.43,9.41128848,489.6612112
6865500,6,6651,MARITSA RIVER,KHARMANLI,BG,41.933334,25.9,19693,66,,,,,1965,1979,15,0,1965,1979,15,113.066,3.565649376,181.0617669
2605500,2,2051,NAKDONGGANG,JIN DONG,KR,35.38,128.48,20403,2,,,,,1976,1979,4,0,1976,1979,4,189.227,5.967462672,292.4796683
1201500,1,1011,"MAJARDAH, WADI",SLOUGHIA,TN,36.58,9.52,20895,67,,,,,1976,1979,4,0,1976,1979,4,18.179,0.573292944,27.43684824
4358220,4,4582,PAPALOAPAN,PAPALOAPAN,MX,18.17,-96.08,21419,22,1947,2002,56,5.382046749,1948,1979,32,0,1947,2002,56,638.519,20.13633518,940.1155602
2837100,2,2371,CHENAB RIVER,AKHNOOR,IN,32.9,74.75,22681,305,,,,,1968,1979,12,8.333333333,1968,1979,12,800.543,25.24592405,1113.086903
1134020,1,1341,SANKARANI,GUELELINKORO,ML,11.15,-8.55,23300,-999,1971,1979,9,2.295918367,1971,1979,9,1.941747573,1971,1979,9,256.975,8.1039636,347.8095966
1566100,1,1661,BARO,GAMBELLA,ET,8.25,34.58,23461,-999,,,,,1928,1979,52,55.76923077,1928,1979,52,36.625,1.155006,49.23089382
2854450,2,2542,HAGARI RIVER,RAMAPURAM,IN,15.63,76.97,23500,349,,,,,1971,1979,9,11.11111111,1971,1979,9,28.269,0.891491184,37.93579506
1335181,1,1351,"KEBI, MAYO",COSSI,CM,9.62,13.87,25000,195,,,,,1955,1979,25,0,1955,1979,25,97.105,3.06230328,122.4921312
2677100,2,2771,HAN-GANG,INDOGYO,KR,37.52,126.97,25046,2,,,,,1947,1979,33,24.61538462,1947,1979,33,505.981,15.95661682,637.0924226
4213290,4,4132,BATTLE RIVER,NEAR UNWIN,CA,52.94,-109.87,25900,-999,1944,1979,36,4.591641837,1944,1979,36,4.651162791,1944,1979,36,9.072,0.286094592,11.04612324
1899100,1,1991,MAPUTO,MADUBULA (58631006),MZ,-26.79,32.44,29476,11,1953,1983,31,0.67294751,1976,1979,4,2.083333333,1953,1983,31,91.63,2.88964368,98.03377935
3652320,3,3528,"PARDO, RIO",MASCOTE,BR,-15.55889,-39.30806,30360,4,1936,2010,75,4.703325844,1936,1979,44,5.34351145,1936,2010,75,74.531,2.350409616,77.41797154
2856200,2,2561,GODAVARI RIVER,DHALEGAON,IN,19.2,76.37,30840,387,,,,,1968,1979,12,8.333333333,1968,1979,12,127.014,4.005513504,129.8804638
3652130,3,3527,"PARAGUACU, RIO",FAZENDA SANTA FE,BR,-12.51556,-39.84806,31488,173,1966,2010,45,0.171631727,1966,1979,14,0,1966,2010,45,70.57,2.22549552,70.67757622
4203150,4,4031,STEWART RIVER,MAYO,CA,63.59,-135.89,31598,-999,1949,1979,31,3.894149925,1949,1979,31,4.312668464,1949,1979,31,377.118,11.89279325,376.3780381
2853150,2,2531,MAHI RIVER,SEVALIA,IN,22.3,73.03,33670,-999,,,,,1968,1979,12,8.333333333,1968,1979,12,384.057,12.11162155,359.7155198
2854100,2,2542,BHIMA RIVER,TAKALI,IN,17.4,75.85,33916,411,,,,,1968,1979,12,8.333333333,1968,1979,12,238.006,7.505757216,221.304317
1547400,1,1471,CHAMBESHI,OLD PONTOON,ZM,-10.95,31.07,34745,1200,1972,2004,33,16.94605809,1976,1979,4,2.083333333,1972,2004,33,176.72,5.57304192,160.398386
1427450,1,1271,SASSANDRA,GUESSABO,CI,6.74,-7,35000,-999,1979,1979,1,0,1979,1979,1,0,1979,1979,1,297.436,9.379941696,267.9983342
3652039,3,3526,"ITAPICURU, RIO",USINA ALTAMIRA,BR,-11.73472,-37.80333,35150,17,1964,2019,56,17.89648925,1964,1979,16,11.53846154,1964,2019,56,25.629,0.808236144,22.9939159
4214950,4,4143,"GEORGE, RIVIERE",AUX CHUTES HELEN,CA,58.1547,-65.8436,35200,104,1957,1979,23,28.14787701,1962,1979,18,7.317073171,1957,1979,23,738.534,23.29040822,661.6593245
2854150,2,2542,KRISHNA,ALAMATI,IN,16.33,75.55,36286,489,,,,,1971,1979,9,12.96296296,1971,1979,9,569.175,17.9495028,494.667442
1897500,1,1971,"INCOMATI, RIO",CHOBELA,MZ,-25.02,32.73,37600,14,,,,,1976,1979,4,2.083333333,1976,1979,4,104.017,3.280280112,87.24149234
6123300,6,6231,LOIRE,BLOIS,FR,47.58,1.33,38240,66,,,,,1863,1979,117,0.854700855,1863,1979,117,362.714,11.4385487,299.1252276
2856600,2,2561,INDRAVATI RIVER,PARTHGUDEM,IN,18.82,80.35,40000,86,,,,,1971,1979,9,11.11111111,1971,1979,9,398.763,12.57538997,314.3847492
6212400,6,6121,"DOURO, RIO",VILLACHICA O SAN ANDRES,ES,41.5,-5.48,41856,641,1930,1968,39,39.39094185,1921,1979,59,0,1921,1979,59,145.75,4.596372,109.8139335
6348400,6,6481,"PO, FIUME",PIACENZA,IT,45.016666,9.666667,42030,42,1980,1985,6,0,1924,1979,56,0,1924,1985,62,928.539,29.2824059,696.7024959
6122300,6,6221,SEINE,PARIS,FR,48.83,2.27,44320,26,,,,,1928,1979,52,2.403846154,1928,1979,52,269.109,8.486621424,191.4851404
2856530,2,2561,WARDHA RIVER,BAMNI BR.,IN,19.8,79.37,46020,157,,,,,1971,1979,9,12.03703704,1971,1979,9,359.465,11.33608824,246.329601
2495450,2,2952,"KARKHEH, RUDKHANEH-YE",HAMIDIYEH,IR,31.5,48.433333,46121,20,1950,2016,67,2.928731436,1976,1979,4,0,1950,2016,67,133.667,4.215322512,91.39703198
